"Application","Environment","app_sim","env_sim","time","energy","Scheduler"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",326.414512,391599.89606,"critical_path"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"critical_path"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"critical_path"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"critical_path"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"critical_path"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"critical_path"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"critical_path"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4741.036581,5491781.3026,"critical_path"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"critical_path"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"critical_path"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"critical_path"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",11215.812454,13110789.084743,"critical_path_energy"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",11851.184181,13893578.766698,"critical_path_energy"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",676.391931,796399.21318,"critical_path_energy"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",390.860172,456874.33995,"critical_path_energy"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",468.608274,549732.60738,"critical_path_energy"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"critical_path_energy"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"critical_path_energy"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"critical_path_energy"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"critical_path_energy"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"critical_path_energy"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"critical_path_energy"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4741.036581,5491781.3026,"critical_path_energy"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"critical_path_energy"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"critical_path_energy"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"critical_path_energy"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",11215.812454,13110789.084743,"decreasing_time_energy"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",11851.184181,13893578.766698,"decreasing_time_energy"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",676.391931,796399.21318,"decreasing_time_energy"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",390.860172,456874.33995,"decreasing_time_energy"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",468.608274,549732.60738,"decreasing_time_energy"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"decreasing_time_energy"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"decreasing_time_energy"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"decreasing_time_energy"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"decreasing_time_energy"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"decreasing_time_energy"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"decreasing_time_energy"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4757.399781,5509780.8226,"decreasing_time_energy"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"decreasing_time_energy"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"decreasing_time_energy"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"decreasing_time_energy"
